epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.955,0.7911,1.39864,1.20976,0.88116,0.73515,0.85182,0.6616,0.86567,1.807,1.32776,0.000664488,0.000664488,0.000664488
2,284.17,0.88649,0.89631,1.24631,0.9115,0.87179,0.93024,0.75697,0.84604,0.72832,1.1803,0.00131468,0.00131468,0.00131468
3,409.354,0.83637,0.78844,1.21418,0.96088,0.75571,0.89247,0.70699,0.92288,0.91293,1.30594,0.00194838,0.00194838,0.00194838
4,534.314,0.79365,0.70642,1.16906,0.91275,0.76899,0.8561,0.65769,0.90055,0.94523,1.23013,0.00192575,0.00192575,0.00192575
5,660.172,0.7429,0.61615,1.13801,0.93309,0.882,0.95454,0.80853,0.65303,0.55309,1.05514,0.001901,0.001901,0.001901
6,784.89,0.70485,0.56592,1.12459,0.98548,0.94872,0.98377,0.84161,0.62517,0.42265,1.02144,0.00187625,0.00187625,0.00187625
7,910.049,0.66804,0.52595,1.09729,0.96773,0.90085,0.95681,0.81599,0.63409,0.49304,1.0367,0.0018515,0.0018515,0.0018515
8,1033.84,0.6389,0.50951,1.08809,0.92692,0.82051,0.9009,0.76476,0.7211,0.81795,1.07099,0.00182675,0.00182675,0.00182675
9,1158.64,0.63533,0.48176,1.08427,0.97135,0.9812,0.9908,0.85813,0.60081,0.3645,0.98844,0.001802,0.001802,0.001802
10,1282.99,0.62076,0.4585,1.06748,0.99094,0.98291,0.99306,0.8589,0.59728,0.37407,0.99133,0.00177725,0.00177725,0.00177725
11,1409.06,0.60712,0.44892,1.07216,0.97069,0.96228,0.98669,0.8435,0.59489,0.42485,0.98762,0.0017525,0.0017525,0.0017525
12,1532.21,0.60686,0.44011,1.06357,0.99277,0.94872,0.97825,0.87925,0.55344,0.38745,0.94477,0.00172775,0.00172775,0.00172775
13,1656.51,0.58976,0.42492,1.05194,0.97482,0.99285,0.99411,0.8922,0.54793,0.32492,0.94065,0.001703,0.001703,0.001703
14,1781.67,0.59002,0.42406,1.05574,0.98905,0.97436,0.99403,0.88159,0.56731,0.34736,0.95358,0.00167825,0.00167825,0.00167825
15,1904.87,0.58946,0.42528,1.05507,0.97353,0.50287,0.63548,0.52433,1.16974,2.35685,1.63414,0.0016535,0.0016535,0.0016535
16,2029.3,0.57018,0.40524,1.04371,0.98738,0.98974,0.99445,0.8692,0.56495,0.32222,0.94453,0.00162875,0.00162875,0.00162875
17,2152.97,0.57126,0.40331,1.04923,0.99484,0.98858,0.99483,0.87118,0.53891,0.29223,0.92675,0.001604,0.001604,0.001604
18,2276.56,0.55599,0.38144,1.03711,0.99586,0.99145,0.99486,0.8909,0.51819,0.29026,0.91404,0.00157925,0.00157925,0.00157925
19,2399.95,0.54339,0.36877,1.03143,0.96556,0.91063,0.96039,0.85179,0.59206,0.53339,0.9819,0.0015545,0.0015545,0.0015545
20,2523.39,0.54418,0.36536,1.03748,0.98961,0.97728,0.99424,0.88895,0.53189,0.28489,0.9258,0.00152975,0.00152975,0.00152975
21,2648.39,0.53539,0.3776,1.0263,0.99958,0.98291,0.99485,0.89527,0.53133,0.28204,0.91593,0.001505,0.001505,0.001505
22,2771.81,0.53702,0.36322,1.03003,0.9913,0.97348,0.99307,0.87865,0.53023,0.30605,0.91843,0.00148025,0.00148025,0.00148025
23,2894.79,0.54164,0.37167,1.0344,0.99656,0.98948,0.99486,0.90358,0.49715,0.26312,0.89253,0.0014555,0.0014555,0.0014555
24,3018.86,0.53449,0.3607,1.02594,0.99586,0.98803,0.99476,0.89414,0.50011,0.28351,0.89286,0.00143075,0.00143075,0.00143075
25,3142.84,0.52531,0.36031,1.02656,0.99788,0.99487,0.995,0.89987,0.50515,0.25635,0.89158,0.001406,0.001406,0.001406
26,3265.6,0.52251,0.35217,1.01834,0.9994,0.99316,0.995,0.9032,0.48811,0.25527,0.87817,0.00138125,0.00138125,0.00138125
27,3388.77,0.52132,0.35194,1.02328,1,0.98969,0.995,0.89941,0.49758,0.26761,0.89284,0.0013565,0.0013565,0.0013565
28,3512.56,0.51663,0.3384,1.021,0.98661,0.9812,0.99135,0.89643,0.51273,0.27789,0.89394,0.00133175,0.00133175,0.00133175
29,3636.23,0.50908,0.33365,1.01702,0.99976,0.98974,0.99491,0.9033,0.48888,0.25759,0.88279,0.001307,0.001307,0.001307
30,3760.21,0.51312,0.33298,1.01646,0.99309,0.99316,0.99491,0.90309,0.50695,0.2563,0.88935,0.00128225,0.00128225,0.00128225
31,3883.39,0.51556,0.33752,1.01744,0.9996,0.99487,0.995,0.8975,0.49246,0.24219,0.89142,0.0012575,0.0012575,0.0012575
32,4006.82,0.49278,0.32151,1.00918,0.9996,0.99487,0.995,0.90032,0.50562,0.24714,0.90026,0.00123275,0.00123275,0.00123275
33,4129.28,0.49051,0.32604,1.00807,1,0.98947,0.99497,0.90704,0.51248,0.25875,0.89929,0.001208,0.001208,0.001208
34,4252.54,0.49138,0.32112,1.00853,1,0.9941,0.995,0.8994,0.50064,0.24494,0.8896,0.00118325,0.00118325,0.00118325
35,4375.11,0.48672,0.31483,1.00626,0.9998,0.99316,0.995,0.9023,0.49432,0.24695,0.88615,0.0011585,0.0011585,0.0011585
36,4497.07,0.47695,0.3177,0.99911,0.99405,0.99316,0.9949,0.9119,0.48178,0.24485,0.87367,0.00113375,0.00113375,0.00113375
37,4618.64,0.49221,0.32676,1.01643,0.99965,0.99487,0.995,0.91108,0.49026,0.24384,0.87739,0.001109,0.001109,0.001109
38,4739.75,0.47717,0.31859,1.00077,0.99656,0.99487,0.99498,0.90586,0.47726,0.23365,0.8756,0.00108425,0.00108425,0.00108425
39,4861.42,0.48518,0.31407,1.00775,0.99966,0.99487,0.995,0.88964,0.52812,0.24369,0.89553,0.0010595,0.0010595,0.0010595
40,4983.15,0.48106,0.30703,1.00754,0.99969,0.99487,0.995,0.91744,0.47468,0.22492,0.86642,0.00103475,0.00103475,0.00103475
41,5104.8,0.46996,0.2997,0.99991,0.998,0.99487,0.99497,0.91323,0.49627,0.23673,0.87648,0.00101,0.00101,0.00101
42,5225.96,0.46955,0.29894,0.99663,0.99828,0.99481,0.995,0.91268,0.4827,0.23057,0.86965,0.00098525,0.00098525,0.00098525
43,5348.12,0.46625,0.30306,0.99687,0.99657,0.99469,0.99498,0.91036,0.49108,0.23401,0.88785,0.0009605,0.0009605,0.0009605
44,5469.8,0.46987,0.29722,1.00297,0.99828,0.99441,0.99498,0.90949,0.47402,0.22403,0.86612,0.00093575,0.00093575,0.00093575
45,5591.79,0.46826,0.30619,1.00048,0.99812,0.99487,0.99493,0.91709,0.4771,0.23179,0.87239,0.000911,0.000911,0.000911
46,5713.6,0.46152,0.29531,0.99152,0.99979,0.99487,0.995,0.91826,0.47122,0.22137,0.86621,0.00088625,0.00088625,0.00088625
47,5835.65,0.46045,0.29204,0.99252,0.99966,0.99487,0.995,0.91102,0.47673,0.22741,0.86919,0.0008615,0.0008615,0.0008615
48,5956.8,0.46463,0.29505,0.99616,0.99981,0.99487,0.995,0.91337,0.47262,0.22805,0.87021,0.00083675,0.00083675,0.00083675
49,6078.8,0.45348,0.28799,0.98541,0.99975,0.99316,0.995,0.9132,0.47638,0.21901,0.8697,0.000812,0.000812,0.000812
50,6200.53,0.4483,0.29024,0.98869,0.99987,0.99487,0.995,0.92123,0.46707,0.22088,0.86877,0.00078725,0.00078725,0.00078725
51,6322.33,0.44789,0.28842,0.98422,0.99986,0.99487,0.995,0.92098,0.47152,0.21706,0.86449,0.0007625,0.0007625,0.0007625
52,6444.04,0.44459,0.283,0.98644,0.99976,0.99487,0.995,0.92209,0.46242,0.21371,0.85908,0.00073775,0.00073775,0.00073775
53,6565.6,0.44702,0.28279,0.98459,0.99829,0.99487,0.995,0.91803,0.4814,0.21858,0.87023,0.000713,0.000713,0.000713
54,6687.19,0.44767,0.2857,0.99058,0.99975,0.99487,0.995,0.91679,0.47528,0.22485,0.86188,0.00068825,0.00068825,0.00068825
55,6809.21,0.44636,0.28789,0.98939,0.99984,0.99487,0.995,0.91813,0.4665,0.21449,0.86462,0.0006635,0.0006635,0.0006635
56,6930.74,0.43569,0.27545,0.97969,0.99973,0.99487,0.995,0.92315,0.47316,0.22228,0.8703,0.00063875,0.00063875,0.00063875
57,7052.95,0.43881,0.27459,0.97971,0.99982,0.99487,0.995,0.91742,0.46666,0.21729,0.8629,0.000614,0.000614,0.000614
58,7175.63,0.43496,0.27182,0.98407,0.99975,0.99487,0.995,0.92351,0.46075,0.20807,0.8556,0.00058925,0.00058925,0.00058925
59,7297.3,0.42875,0.26724,0.97861,0.99983,0.99487,0.995,0.92215,0.45332,0.21151,0.85214,0.0005645,0.0005645,0.0005645
60,7419.64,0.42958,0.26573,0.97588,0.9988,0.99487,0.995,0.91557,0.46045,0.21172,0.85511,0.00053975,0.00053975,0.00053975
61,7541.27,0.41633,0.26034,0.97396,0.99801,0.99487,0.99498,0.92348,0.45676,0.20698,0.84886,0.000515,0.000515,0.000515
