epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.1824,0.82922,6.72365,1.23982,0.46193,0.49231,0.52898,0.34718,1.26507,4.45741,1.84398,0.000660131,0.000660131,0.000660131
2,106.013,1.01882,1.17186,1.34124,0.04603,0.53333,0.03656,0.01808,1.65976,99.6145,2.92642,0.00130053,0.00130053,0.00130053
3,149.749,1.0429,1.08776,1.34268,0.01495,0.21538,0.00637,0.00231,3.18054,78.8021,6.1781,0.00191452,0.00191452,0.00191452
4,193.625,1.0087,0.99849,1.32977,0.63748,0.6359,0.68497,0.47666,1.18799,1.59952,1.46311,0.0018812,0.0018812,0.0018812
5,238.353,0.91808,0.90405,1.25334,0.89809,0.63273,0.76064,0.59043,1.06603,1.52756,1.40263,0.0018416,0.0018416,0.0018416
6,284.277,0.86406,0.81308,1.22706,0.96609,0.86154,0.9607,0.75486,0.90758,0.72827,1.26517,0.001802,0.001802,0.001802
7,327.927,0.83082,0.73811,1.19498,0.91068,0.88885,0.95589,0.77547,0.81399,0.7839,1.14703,0.0017624,0.0017624,0.0017624
8,371.451,0.79021,0.71524,1.16621,0.95646,0.90132,0.97903,0.80283,0.77931,0.65872,1.14419,0.0017228,0.0017228,0.0017228
9,415.931,0.76699,0.66788,1.16627,0.9527,0.85128,0.95185,0.75128,0.8168,0.67269,1.2134,0.0016832,0.0016832,0.0016832
10,460.828,0.74436,0.62964,1.15892,0.98797,0.84219,0.95844,0.79012,0.73976,0.58407,1.12742,0.0016436,0.0016436,0.0016436
11,506.029,0.67816,0.57679,1.10401,0.97343,0.97436,0.99095,0.85017,0.65689,0.42247,1.04834,0.001604,0.001604,0.001604
12,551.642,0.66928,0.54653,1.10058,0.96608,0.96923,0.99006,0.8351,0.67161,0.45864,1.04122,0.0015644,0.0015644,0.0015644
13,597.882,0.6794,0.54349,1.11153,0.92206,0.9641,0.98689,0.84207,0.66968,0.48499,1.02568,0.0015248,0.0015248,0.0015248
14,644.154,0.70407,0.57537,1.12722,0.95094,0.97949,0.99159,0.85401,0.65051,0.42684,1.01822,0.0014852,0.0014852,0.0014852
15,690.844,0.69021,0.52514,1.11702,0.9984,0.9641,0.99308,0.8632,0.60224,0.37135,0.96365,0.0014456,0.0014456,0.0014456
16,736.964,0.66371,0.50941,1.09317,0.96926,0.97005,0.98966,0.83251,0.68206,0.42276,1.04817,0.001406,0.001406,0.001406
17,783.864,0.64587,0.48365,1.09593,0.98426,0.9621,0.99197,0.86884,0.61133,0.37359,1.0033,0.0013664,0.0013664,0.0013664
18,830.43,0.6378,0.47356,1.07953,0.96494,0.9879,0.99319,0.87687,0.57778,0.36358,0.96086,0.0013268,0.0013268,0.0013268
19,877.75,0.61438,0.45666,1.06957,0.9901,0.96923,0.99397,0.88031,0.57716,0.35716,0.96558,0.0012872,0.0012872,0.0012872
20,924.436,0.60049,0.46059,1.06663,0.96832,0.94037,0.9746,0.83266,0.59369,0.44764,0.99137,0.0012476,0.0012476,0.0012476
21,971.389,0.59693,0.43576,1.06812,0.99482,0.98421,0.99423,0.85984,0.58035,0.33753,0.95485,0.001208,0.001208,0.001208
22,1019.7,0.60932,0.42359,1.07044,1,0.98752,0.9948,0.87363,0.58443,0.33827,0.97796,0.0011684,0.0011684,0.0011684
